图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
   1	   1	     1	     1	      1.0	      1
   2	   2	     2	     2	      2.0	      2
   3	   3	     3	     3	      3.0	      3
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
   1	   1	     1	     1	      1.0	      1
   2	   2	     2	     2	      2.0	      2
   3	   3	     3	     3	      3.0	      3
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
   1	   1	     1	     1	      1.0	      1
   2	   2	     2	     2	      2.0	      2
   3	   3	     3	     3	      3.0	      3
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
   1	   1	     1	     1	      1.0	      1
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
   1	   1	     1	     1	      1.0	      1
   2	   22	     2	     2	      2.0	      2
   3	   3	     3	     3	      3.0	      3
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
   1	   1	     1	     1	      1.0	      1
   2	   2	     2	     2	      2.0	      2
   3	   3	     3	     3	      3.0	      3
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
   1	   1	     1	     1	      1.0	      1
   2	   2	     2	     2	      2.0	      2
   3	   3	     3	     3	      3.0	      3
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
   1	   1	     1	     1	      1.0	      1
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
   1	   1	     1	     1	      1.0	      1
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
   1	   1	     1	     1	      1.0	      1
   2	   2	     2	     2	      2.0	      2
   3	   3	     3	     3	      3.0	      3
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
   1	   1	     1	     1	      1.0	      1
   2	   2	     2	     2	      2.0	      2
   3	   3	     3	     3	      3.0	      3
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
   1	   1	     1	     1	      1.0	      1
   2	   2	     2	     2	      2.0	      2
   3	   3	     3	     3	      3.0	      3
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
   1	   1	     1	     1	      1.0	      1
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
   1	   1	     1	     1	      1.0	      1
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
   1	   1	     1	     1	      1.0	      1
   2	   2	     2	     2	      2.0	      2
   3	   3	     3	     3	      3.0	      3
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
   1	   1	     1	     1	      1.0	      1
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
   1	   1	     1	     1	      1.0	      1
   2	   2	     2	     2	      2.0	      2
   3	   3	     3	     3	      3.0	      3
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
   1	   1	     1	     1	      1.0	      1
   2	   2	     2	     2	      2.0	      2
   3	   3	     3	     3	      3.0	      3
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
   1	   1	     1	     1	      1.0	      1
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
   1	   1	     1	     1	      1.0	      1
   2	   2	     2	     2	      2.0	      2
   3	   3	     3	     3	      3.0	      3
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
   1	   1	     1	     1	      1.0	      1
   2	   2	     2	     2	      2.0	      2
   33	   3	     3	     3	      3.0	      3
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
   11	   1	     1	     1	      1.0	      1
   2	   2	     2	     2	      2.0	      2
   3	   3	     3	     3	      3.0	      3
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
   1	   1	     1	     11	      1.0	      1
   2	   2	     2	     2	      2.0	      2
   3	   3	     3	     3	      3.0	      3
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
   1	   1	     1	     1	      1.0	      1
   2	   2	     2	     2	      2.0	      2
   3	   3	     3	     3	      3.0	      3
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
   1	   1	     1	     1	      1.0	      1
   2	   2	     2	     2	      2.0	      2
   3	   3	     3	     3	      3.0	      3
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
   1	   1	     1	     1	      1.0	      1
   2	   2	     2	     2	      2.0	      2
   3	   3	     3	     3	      3.0	      3
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
   1	   1	     1	     1	      1.0	      1
   2	   2	     2	     2	      2.0	      2
   3	   3	     3	     3	      3.0	      3
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
   1	   1	     1	     1	      1.0	      1
   2	   2	     2	     2	      2.0	      2
   3	   3	     3	     33	      3.0	      3
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
   1	   1	     1	     1	      1.0	      1
   2	   2	     2	     2	      2.0	      2
   3	   3	     3	     3	      3.0	      3
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
   1	   1	     1	     1	      1.0	      1
   2	   2	     2	     2	      2.0	      2
   3	   3	     3	     3	      3.0	      3
   1	   1	     1	     1020162514	      1.0	      -1
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
图书名称	借阅日期	借阅人	流水号	价格	借阅人ID号
